municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia,vv_db,vh_db,n_img_radar,coherencia_final,fuente
El Cerrito,2020,0.641858249642065,22,,18630.5,2050871.5,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2021,0.6141618154519087,12,,18084.76,2047354.77,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2022,0.3887840578769779,9,,18327.34,2048518.73,16965.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
El Cerrito,2023,0.6404177603054899,13,,18199.24,2064871.78,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2024,0.6240341150981751,22,,18302.94,2069517.84,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2025,0.633657314251922,8,,18291.09,2068976.27,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Dovio,2019,0.5643274200971155,7,,2010.23,23624.66,278.0,✅ Coherente,,,,✅ Coherente,Optico
El Dovio,2020,0.6319528586396769,5,,2548.7,30353.2,278.0,✅ Coherente,,,,✅ Coherente,Optico
El Dovio,2021,0.6974399998534895,6,,2260.03,28032.31,195.8,✅ Coherente,,,,✅ Coherente,Optico
El Dovio,2022,,2,Nublado,2149.84,25994.02,220.6,Sin datos satelitales,-8.27,-14.32,30.0,✅ Coherente (radar),Radar
El Dovio,2023,,2,Nublado,2223.6000000000004,33238.47,218.5,Sin datos satelitales,-8.44,-14.52,31.0,✅ Coherente (radar),Radar
El Dovio,2024,0.6711190490026965,5,,2443.42,35705.86,230.0,✅ Coherente,,,,✅ Coherente,Optico
El Dovio,2025,,2,Nublado,2229.21,34904.520000000004,230.0,Sin datos satelitales,-8.55,-14.63,68.0,✅ Coherente (radar),Radar
Florida,2019,0.5822538789565048,11,,12507.0,1338511.6,10120.0,✅ Coherente,,,,✅ Coherente,Optico
Florida,2020,0.5535399911362852,14,,12610.0,1343162.15,10120.0,✅ Coherente,,,,✅ Coherente,Optico
Florida,2021,0.5201838884330854,7,,12558.33,1289069.38,10120.0,✅ Coherente,,,,✅ Coherente,Optico
Florida,2022,0.335899770246859,6,,12716.93,1280791.2500000005,10119.45,➖ Indeterminado,,,,➖ Indeterminado,Optico
Florida,2023,0.6690288699061779,8,,13720.54,1391292.5800000003,10986.45,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Florida,2024,0.5630634068288124,16,,14856.65,1539762.51,12181.45,✅ Coherente,,,,✅ Coherente,Optico
Florida,2025,0.7593100788057605,5,,15588.27,1630501.61,12911.45,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Ginebra,2019,0.6351233317466469,9,,4577.500000000001,366484.92,3320.0,✅ Coherente,,,,✅ Coherente,Optico
Ginebra,2020,0.5364970553573041,8,,4593.17,362551.86,3317.0,✅ Coherente,,,,✅ Coherente,Optico
Ginebra,2021,,3,Nublado,4887.08,502752.5200000001,3322.0,Sin datos satelitales,-8.5,-14.96,101.0,✅ Coherente (radar),Radar
Ginebra,2022,,3,Nublado,3517.94,190165.45,2012.0,Sin datos satelitales,-8.83,-15.33,56.0,✅ Coherente (radar),Radar
Ginebra,2023,0.6317758739465936,5,,4505.28,286757.96,3012.0,✅ Coherente,,,,✅ Coherente,Optico
Ginebra,2024,0.5662250452033406,6,,4614.99,305212.21,3212.0,✅ Coherente,,,,✅ Coherente,Optico
Ginebra,2025,,3,Nublado,4519.34,392087.42,3212.0,Sin datos satelitales,-8.81,-15.23,134.0,✅ Coherente (radar),Radar
Guacarí,2019,0.6671908997933711,9,,15036.1,1706524.95,13210.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Guacarí,2020,0.6326319697599699,8,,15081.0,1710717.8,13250.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Guacarí,2021,,4,Nublado,15551.48,1699502.5400000005,13290.0,Sin datos satelitales,-9.91,-16.17,72.0,✅ Coherente (radar),Radar
Guacarí,2022,,3,Nublado,16344.04,1753065.59,13374.0,Sin datos satelitales,-10.04,-16.38,30.0,✅ Coherente (radar),Radar
Guacarí,2023,0.6173301443564864,5,,15840.580000000002,1722943.9,13368.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Guacarí,2024,0.6325027938251176,6,,15809.3,1723275.0,13374.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Guacarí,2025,,3,Nublado,15850.6,1724737.5,13371.0,Sin datos satelitales,-10.11,-16.48,103.0,✅ Coherente (radar),Radar
Jamundí,2019,0.6074109864754852,11,,14214.5,868021.35,9258.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Jamundí,2020,0.6156604776421546,11,,14167.5,869768.5,9267.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Jamundí,2021,0.5339442234144778,7,,14285.29,1062517.53,9291.5,✅ Coherente,,,,✅ Coherente,Optico
Jamundí,2022,0.5616874620581352,5,,14274.14,1058138.52,9293.0,✅ Coherente,,,,✅ Coherente,Optico
Jamundí,2023,0.5931538867244864,7,,14243.34,1059064.27,9291.5,✅ Coherente,,,,✅ Coherente,Optico
Jamundí,2024,0.5959208311416283,11,,14206.75,1057725.36,9292.0,✅ Coherente,,,,✅ Coherente,Optico
Jamundí,2025,,4,Nublado,14272.81,1054762.8,9298.0,Sin datos satelitales,-8.94,-15.29,68.0,✅ Coherente (radar),Radar
La Cumbre,2019,0.6257353240995757,5,,1704.6,27063.67,13.3,✅ Coherente,,,,✅ Coherente,Optico
La Cumbre,2020,,3,Nublado,1790.7000000000005,25893.360000000004,16.8,Sin datos satelitales,-9.15,-15.33,83.0,✅ Coherente (radar),Radar
La Cumbre,2021,,4,Nublado,1763.84,32487.35,19.8,Sin datos satelitales,-8.86,-15.08,72.0,✅ Coherente (radar),Radar
La Cumbre,2022,,1,Nublado,1876.54,38657.16,20.8,Sin datos satelitales,-8.97,-15.14,30.0,✅ Coherente (radar),Radar
La Cumbre,2023,,2,Nublado,2058.07,45409.69,21.8,Sin datos satelitales,-9.04,-15.19,31.0,✅ Coherente (radar),Radar
La Cumbre,2024,,1,Nublado,1954.94,45412.84,18.8,Sin datos satelitales,-9.15,-15.33,31.0,✅ Coherente (radar),Radar
La Cumbre,2025,,0,Nublado,2108.75,47356.25,3.8,Sin datos satelitales,-8.96,-15.15,80.0,✅ Coherente (radar),Radar
La Unión,2019,0.322794575852069,28,,4651.11,252828.45,1790.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
La Unión,2020,0.6596664567754029,34,,4601.709999999999,45617.33,1790.0,✅ Coherente,,,,✅ Coherente,Optico
La Unión,2021,0.6462455078964292,22,,4566.949999999999,229136.22,1790.0,✅ Coherente,,,,✅ Coherente,Optico
La Unión,2022,0.5014224767984146,20,,4589.720000000001,227977.27,1790.0,✅ Coherente,,,,✅ Coherente,Optico
