municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia
Ulloa,2021,0.6210434833729366,36,,1085.89,8328.08,0.0,✅ Coherente
Ulloa,2022,0.6359616296221017,21,,1037.0900000000001,7734.93,0.0,✅ Coherente
Ulloa,2023,0.627484084711601,38,,952.85,5805.379999999999,0.0,➖ Indeterminado
Ulloa,2024,0.6104647954262754,54,,954.56,5225.66,0.0,➖ Indeterminado
Ulloa,2025,0.6779192397622505,39,,819.98,3588.15,0.0,➖ Indeterminado
Versalles,2019,0.2877033681165564,18,,2488.7,46899.38,466.0,➖ Indeterminado
Versalles,2020,0.6954745503961266,26,,3047.5,46933.78,424.0,✅ Coherente
Versalles,2021,0.660991760940136,18,,2259.99,46370.89,429.0,✅ Coherente
Versalles,2022,0.540904743993312,17,,3342.06,54248.5,429.0,✅ Coherente
Versalles,2023,0.5966214241900171,16,,3269.24,54745.43000000001,429.0,✅ Coherente
Versalles,2024,0.6450097933590732,25,,3249.3899999999994,56408.619999999995,433.0,✅ Coherente
Versalles,2025,0.6139903979694689,20,,3244.0999999999995,57325.61,428.0,✅ Coherente
Vijes,2019,0.6249144709061619,5,,1662.3,46786.200000000004,165.0,✅ Coherente
Vijes,2020,,3,Nublado,1659.0,48327.39000000001,185.0,Sin datos satelitales
Vijes,2021,,4,Nublado,1669.29,49361.86,193.0,Sin datos satelitales
Vijes,2022,,1,Nublado,1692.07,49693.31,204.0,Sin datos satelitales
Vijes,2023,,2,Nublado,1745.71,53323.05,264.0,Sin datos satelitales
Vijes,2024,,1,Nublado,2023.05,62941.880000000005,265.0,Sin datos satelitales
Vijes,2025,,0,Nublado,2050.83,66751.7,265.0,Sin datos satelitales
Yotoco,2019,0.634851438802626,5,,4861.2,327002.25,2608.0,✅ Coherente
Yotoco,2020,,3,Nublado,5217.5,367901.68,2958.0,Sin datos satelitales
Yotoco,2021,,3,Nublado,5211.700000000001,375890.78,2958.0,Sin datos satelitales
Yotoco,2022,,1,Nublado,5120.51,373909.20999999996,2958.0,Sin datos satelitales
Yotoco,2023,,2,Nublado,5062.280000000001,373809.01,2958.0,Sin datos satelitales
Yotoco,2024,,1,Nublado,5280.65,402786.57,3208.0,Sin datos satelitales
Yotoco,2025,,0,Nublado,5252.01,338963.31999999995,3228.0,Sin datos satelitales
Yumbo,2019,0.5574550528101296,16,,2771.2700000000004,222412.28,1788.1000000000001,✅ Coherente
Yumbo,2020,0.4639791720782383,14,,2919.81,272994.47,2233.2,✅ Coherente
Yumbo,2021,0.4653478672486586,12,,2723.73,254173.67,2063.5,✅ Coherente
Yumbo,2022,0.43210682136552436,6,,2712.4399999999996,281474.82,2013.5,✅ Coherente
Yumbo,2023,0.5103926649349771,9,,2606.74,254669.66,1804.0,✅ Coherente
Yumbo,2024,0.48951594104859586,12,,2571.23,248012.6,1801.5,✅ Coherente
Yumbo,2025,,4,Nublado,2597.55,248589.92,1801.5,Sin datos satelitales
Zarzal,2019,0.6206850211829587,28,,11561.64,1256389.35,10872.0,✅ Coherente (Alto NDVI / Alta Area)
Zarzal,2020,0.6222289859811697,34,,11467.64,1254448.58,10868.26,✅ Coherente (Alto NDVI / Alta Area)
Zarzal,2021,0.6413922177461703,22,,11105.039999999997,1245918.18,10525.0,✅ Coherente (Alto NDVI / Alta Area)
Zarzal,2022,0.6312657313840018,20,,7386.69,823003.79,6825.0,✅ Coherente (Alto NDVI / Alta Area)
Zarzal,2023,0.6308897454740126,20,,9688.31,1097244.87,9112.0,✅ Coherente (Alto NDVI / Alta Area)
Zarzal,2024,0.5898371751724082,31,,17716.110000000004,2099803.97,17444.0,✅ Coherente
Zarzal,2025,0.6712480214145936,23,,17973.37,2129868.4099999997,17694.0,✅ Coherente (Alto NDVI / Alta Area)
