ano,real_t,mlp_t,pm3a_t,mape_mlp,mape_pm3a,pm3a_ok,pm5a_ok
2022,38977.9,42647.0,42595.0,9.41,9.28,39815.69666666666,39815.69666666666
2023,37114.2,36808.0,42723.0,0.83,15.11,41956.246666666666,39606.2475
2024,38594.240000000005,38523.0,41135.0,0.18,6.58,41134.74333333333,39107.838
2025,41878.19,41514.0,38229.0,0.87,8.71,38228.780000000006,40315.436
