ano,real_t,mlp_t,pm3a_t,mape_mlp,mape_pm3a
2022.0,38977.9,42647.0,42595.0,9.41,9.28
2023.0,37114.2,36808.0,42723.0,0.83,15.11
2024.0,38594.240000000005,38523.0,41135.0,0.18,6.58
2025.0,41878.19,41514.0,38229.0,0.87,8.71
,,,,2.82,9.92
