variable,n,media,mediana,desv_std,cv,asimetria,curtosis,p10,p25,p75,p90,iqr
area_sembrada_ha,9032,247.10322077059345,14.0,1515.4940243286987,6.133040352944887,13.672841507162499,237.13792394189747,2.0,5.0,47.525,250.0,42.525
area_cosechada_ha,9032,227.67905447298492,12.0,1437.638931193417,6.3143223012813365,14.4791710668476,269.3332004702321,1.5,4.0,41.225,220.54000000000033,37.225
produccion_t,9032,17282.43923826395,105.0,178953.98183637016,10.354671546604344,17.131947152860032,364.0406364107501,7.5,28.0,499.8575,2249.9000000000005,471.8575
rendimiento_t_ha,9032,15.80343445527015,10.0,20.94660062807636,1.3254461039695749,3.308504270674554,13.105582462330919,1.15,4.0,19.0,30.0,15.0
