codigo_dane_municipio,grupo_cultivo,LQ
76318,Cultivos tropicales tradicionales,1.1789862178865549
76364,Cultivos tropicales tradicionales,1.0164500985019882
76377,Cultivos tropicales tradicionales,0.4166596837834026
76400,Cultivos tropicales tradicionales,0.6636850862319099
76403,Cultivos tropicales tradicionales,0.9273770570828442
76497,Cultivos tropicales tradicionales,1.0141300624559273
76520,Cultivos tropicales tradicionales,1.309791645695769
76563,Cultivos tropicales tradicionales,1.313688862123952
76606,Cultivos tropicales tradicionales,0.4092671534232293
76616,Cultivos tropicales tradicionales,0.7250271123552569
76622,Cultivos tropicales tradicionales,0.6560364803421943
76670,Cultivos tropicales tradicionales,1.1890972398314241
76736,Cultivos tropicales tradicionales,0.5397200608813928
76823,Cultivos tropicales tradicionales,1.0009382641559128
76828,Cultivos tropicales tradicionales,0.6241696393345957
76834,Cultivos tropicales tradicionales,1.1363605017551714
76845,Cultivos tropicales tradicionales,0.7521331196184373
76863,Cultivos tropicales tradicionales,0.5560172989152451
76869,Cultivos tropicales tradicionales,0.577302233004416
76890,Cultivos tropicales tradicionales,0.9800623943110768
76892,Cultivos tropicales tradicionales,1.0905999983280859
76895,Cultivos tropicales tradicionales,1.3267877879282945
76001,Frutales,0.1199962607168113
76020,Frutales,3.0265839095662033
76036,Frutales,0.7700388738427862
76041,Frutales,1.1446695379216671
76054,Frutales,2.708825700796014
76100,Frutales,3.338471673927403
76109,Frutales,4.534525483365304
76111,Frutales,0.16173646245120196
76113,Frutales,0.4437975846815964
76122,Frutales,2.7755866774025226
76126,Frutales,2.505453016690727
76130,Frutales,0.012601237988869637
76147,Frutales,0.4650004394231651
76233,Frutales,2.9920001459097016
76243,Frutales,1.593079634996465
76246,Frutales,2.780112241010376
76248,Frutales,0.11649947361201256
76250,Frutales,1.452341397231628
76275,Frutales,0.3609749890180583
76306,Frutales,0.5545408037131617
76318,Frutales,0.4930996928912312
76364,Frutales,0.2344842176308774
76377,Frutales,1.9679167368379133
76400,Frutales,1.3626381287381137
76403,Frutales,0.7261952457505007
76497,Frutales,0.40648142268588355
76520,Frutales,0.0998119024325914
76563,Frutales,0.140079981508431
76606,Frutales,2.279572531163358
76616,Frutales,2.4971080550981677
76622,Frutales,0.8684515202254613
76670,Frutales,0.34848826021249046
76736,Frutales,3.0836082207375184
76823,Frutales,0.9529542907162316
76828,Frutales,2.791454736844951
76834,Frutales,0.552504561114049
76845,Frutales,2.3121791260725097
76863,Frutales,2.937934319989279
76869,Frutales,1.9530326070888995
76890,Frutales,1.1196991964118252
76892,Frutales,0.5250400882045863
76895,Frutales,0.06174815690916839
76001,Hortalizas,1.0826762823557876
76020,Hortalizas,1.388543239804981
76036,Hortalizas,0.08945986502223086
76041,Hortalizas,0.29584020813683426
76054,Hortalizas,0.31181404073166674
76100,Hortalizas,2.9269001072264644
76109,Hortalizas,0.0
76111,Hortalizas,0.354875579821128
76113,Hortalizas,0.39668884564188683
76122,Hortalizas,0.12937703155995767
76126,Hortalizas,7.475917635821248
76130,Hortalizas,0.11193537991770056
76147,Hortalizas,0.0014324813344236947
76233,Hortalizas,7.042454193006707
76243,Hortalizas,0.05203662311670855
76246,Hortalizas,0.04952236489848527
76248,Hortalizas,2.1005758722769956
76250,Hortalizas,13.768737102077882
76275,Hortalizas,0.5856958720199839
76306,Hortalizas,0.4023517826507873
76318,Hortalizas,0.45944363559436185
76364,Hortalizas,0.07241893770273454
76377,Hortalizas,12.437747853516795
76400,Hortalizas,2.34734946633326
76403,Hortalizas,0.13661342686003222
76497,Hortalizas,0.13476185962992304
76520,Hortalizas,0.5335872808753925
76563,Hortalizas,0.3629754568538383
76606,Hortalizas,7.753450295916214
76616,Hortalizas,0.07534641888307506
76622,Hortalizas,2.056044990424024
76670,Hortalizas,1.4154910356918216
76736,Hortalizas,0.9118893667552801
76823,Hortalizas,0.8237563697625263
76828,Hortalizas,0.24215481153060825
76834,Hortalizas,0.9456079709343281
76845,Hortalizas,0.0894158781654335
76863,Hortalizas,1.1474252396986502
76869,Hortalizas,7.8466915372283
76890,Hortalizas,0.8530034266616991
76892,Hortalizas,2.98137786515979
76895,Hortalizas,0.0003754659741718354
76001,Leguminosas,1.5309510412388927
76020,Leguminosas,4.52303210008748
76036,Leguminosas,0.0
76041,Leguminosas,0.4592016182168035
76054,Leguminosas,0.9544315794988392
76100,Leguminosas,3.256853889518981
76109,Leguminosas,0.0
76111,Leguminosas,0.885292241694273
76113,Leguminosas,1.6214126748502407
76122,Leguminosas,1.7096602945757422
76126,Leguminosas,5.803155213728209
76130,Leguminosas,0.03826394838945676
76147,Leguminosas,0.23226756909219354
76233,Leguminosas,4.372625351004564
76243,Leguminosas,0.09112326373139297
76246,Leguminosas,0.05982785117563986
76248,Leguminosas,0.1664139424513784
76250,Leguminosas,9.370830349825617
76275,Leguminosas,1.3480170530782938
76306,Leguminosas,1.5419858917474687
76318,Leguminosas,0.5789016320457638
76364,Leguminosas,0.16156497823125232
76377,Leguminosas,8.034149017596858
76400,Leguminosas,0.0
76403,Leguminosas,0.1376758313228896
76497,Leguminosas,0.3532604180030446
76520,Leguminosas,0.47129978598028766
76563,Leguminosas,1.2114314269844269
76606,Leguminosas,9.895493306958913
76616,Leguminosas,0.153798290168439
76622,Leguminosas,0.6934838308546586
76670,Leguminosas,1.8747221922423338
76736,Leguminosas,1.0052234996879899
76823,Leguminosas,0.3226710196438287
76828,Leguminosas,0.4881714052383511
76834,Leguminosas,1.1062352601447247
76845,Leguminosas,0.3376747711191766
76863,Leguminosas,1.9838853078755683
76869,Leguminosas,4.211720593162969
76890,Leguminosas,0.9246043784039709
76892,Leguminosas,0.8839317871441064
76895,Leguminosas,0.0
76001,Oleaginosas,0.0
76020,Oleaginosas,0.0
76036,Oleaginosas,0.0
76041,Oleaginosas,0.27872581000680124
76054,Oleaginosas,0.0
76100,Oleaginosas,0.09030020932916932
76109,Oleaginosas,0.0
76111,Oleaginosas,0.018074632406835482
76113,Oleaginosas,0.3745857464728724
76122,Oleaginosas,6.032409837918949
76126,Oleaginosas,1.2776596683524495
76130,Oleaginosas,0.0
76147,Oleaginosas,22.359375330629188
76233,Oleaginosas,0.6148809219611461
76243,Oleaginosas,0.0
76246,Oleaginosas,0.0
76248,Oleaginosas,0.0
76250,Oleaginosas,0.0
76275,Oleaginosas,0.2949122012541464
76306,Oleaginosas,0.0
76318,Oleaginosas,0.0
76364,Oleaginosas,0.028046092631261142
76377,Oleaginosas,0.0
76400,Oleaginosas,0.0
76403,Oleaginosas,6.0570611694041085
76497,Oleaginosas,0.36441431265249385
76520,Oleaginosas,0.12725903802064173
76563,Oleaginosas,0.0
76606,Oleaginosas,0.8528051945876461
76616,Oleaginosas,0.0
76622,Oleaginosas,2.625558551460293
76670,Oleaginosas,0.0
76736,Oleaginosas,0.0
76823,Oleaginosas,4.751881678883424
76828,Oleaginosas,0.052815881437517136
76834,Oleaginosas,0.0
76845,Oleaginosas,0.0
76863,Oleaginosas,0.0
76869,Oleaginosas,0.0
76890,Oleaginosas,0.0
76892,Oleaginosas,0.0
76895,Oleaginosas,2.493952399712352
76001,Raíces y tubérculos,0.5621060895396891
76020,Raíces y tubérculos,3.0465394537408215
76036,Raíces y tubérculos,0.0
76041,Raíces y tubérculos,0.0045330531590336755
76054,Raíces y tubérculos,0.13556870941961766
76100,Raíces y tubérculos,5.01892731417144
76109,Raíces y tubérculos,9.77879792864926
76111,Raíces y tubérculos,0.6853386327177734
76113,Raíces y tubérculos,0.0
76122,Raíces y tubérculos,0.772459616619739
76126,Raíces y tubérculos,4.2197210844211765
76130,Raíces y tubérculos,0.0
76147,Raíces y tubérculos,0.0
76233,Raíces y tubérculos,3.211713176334594
76243,Raíces y tubérculos,0.0612637087125898
76246,Raíces y tubérculos,0.49789520608732507
76248,Raíces y tubérculos,0.0
76250,Raíces y tubérculos,15.173345022425549
76275,Raíces y tubérculos,0.5021052156193229
76306,Raíces y tubérculos,0.0
76318,Raíces y tubérculos,0.08539646529305311
76364,Raíces y tubérculos,0.06157717467095806
76377,Raíces y tubérculos,1.0394006957074065
76400,Raíces y tubérculos,0.9158385477017955
76403,Raíces y tubérculos,0.1701986684303194
76497,Raíces y tubérculos,0.11507572684436014
76520,Raíces y tubérculos,0.1444173581441184
76563,Raíces y tubérculos,0.0
76606,Raíces y tubérculos,1.046095809078542
76616,Raíces y tubérculos,0.03256503386602801
76622,Raíces y tubérculos,1.4446410302171957
76670,Raíces y tubérculos,1.919169012811865
76736,Raíces y tubérculos,0.8082221276096999
76823,Raíces y tubérculos,0.15456431720687178
76828,Raíces y tubérculos,0.04846400963038141
76834,Raíces y tubérculos,6.89532966463311
76845,Raíces y tubérculos,0.7141916156290888
76863,Raíces y tubérculos,1.7448857486259384
76869,Raíces y tubérculos,5.1907795640773235
76890,Raíces y tubérculos,0.42926807116222393
76892,Raíces y tubérculos,2.5434723476989913
76895,Raíces y tubérculos,0.040663303669151545
