Real_t,Pred_t,Residuo_t
22.0,28.036800225060595,-6.036800225060595
47.99999999999999,14.905762414435792,33.0942375855642
210.00000000000003,255.81432143803067,-45.814321438030646
51.6,153.578586248948,-101.978586248948
1484.0000000000005,1011.2633356481921,472.7366643518084
23304.400000000005,22941.557824742602,362.84217525740314
10.000000000000002,6.074335709578622,3.9256642904213797
239.99999999999994,173.72565045974764,66.2743495402523
56.00000000000001,40.53429520907565,15.465704790924356
306.44999999999993,335.4307857442433,-28.98078574424335
349.9999999999999,543.2816566684563,-193.28165666845643
141.86999999999998,132.27690918127408,9.593090818725898
12.0,14.50855209260141,-2.508552092601411
4.75,5.609740813675666,-0.8597408136756659
30.0,36.23111401860308,-6.23111401860308
35.99999999999999,20.090789090855907,15.909210909144086
623.9999999999998,739.1367352887997,-115.13673528879997
96.0,100.39670648763382,-4.396706487633821
73.60000000000002,9.955064012666568,63.644935987333454
84.00000000000001,66.43355323747431,17.5664467625257
4212.000000000003,3326.92417630103,885.0758236989727
2.7000000000000006,4.036011171135824,-1.3360111711358233
87.22,120.01680128946089,-32.79680128946089
23.000000000000004,19.542962625540724,3.4570373744592793
60.00000000000001,41.01028440915128,18.989715590848725
205.66000000000005,286.5590518919206,-80.89905189192055
114.00000000000001,91.31218860769283,22.687811392307182
248.39999999999998,233.6191096033578,14.780890396642178
1059.9999999999998,1033.4717849013605,26.528215098639294
10400.000000000002,9606.486488239661,793.5135117603404
159.11999999999998,209.33569048170577,-50.21569048170579
228.00000000000006,271.9142237824454,-43.91422378244533
180.00000000000006,137.15803627736025,42.841963722639804
182.00000000000009,40.26772064732243,141.73227935267766
30.0,287.45000297017657,-257.45000297017657
112.00000000000003,47.28886556963466,64.71113443036538
143.99999999999997,136.5118907460569,7.488109253943065
440.0,336.1730482991934,103.8269517008066
440.0,472.86067783738406,-32.86067783738406
24728.000000000015,36498.825066724974,-11770.82506672496
7.800000000000001,7.357979877512147,0.44202012248785394
7607.2500000000055,6632.377986902236,974.872013097769
519.0,988.1263971244286,-469.12639712442865
697.5,804.9837646033619,-107.48376460336192
32.0,8.821238539847508,23.178761460152494
62.54999999999999,247.26687729882175,-184.71687729882177
2136.0000000000005,831.4531912790902,1304.5468087209101
33.00000000000001,28.631209381098028,4.368790618901979
54.000000000000014,54.88739107044695,-0.8873910704469381
45.0,34.70437333673351,10.29562666326649
3.58,3.7805757858072573,-0.2005757858072572
14.999999999999998,14.880701859248447,0.11929814075155143
545.7500000000001,568.1164696585549,-22.36646965855482
45.0,52.75487651389151,-7.75487651389151
150.0,99.13704564808808,50.862954351911924
0.8800000000000001,1.4321201739946563,-0.5521201739946562
32.0,39.21750455305498,-7.2175045530549795
35.99999999999999,49.50055055368737,-13.500550553687376
16250.000000000011,21088.93349265481,-4838.9334926548
12.0,11.275861062268435,0.7241389377315652
127.99999999999997,51.74305632911353,76.25694367088644
210.00000000000003,139.75171623745229,70.24828376254774
2657.34,2526.5960950920585,130.74390490794167
362.8799999999999,148.9615134328522,213.91848656714768
75.0,50.057278326120006,24.942721673879994
40.00000000000001,41.950783075366054,-1.9507830753660471
45.0,47.10624309801731,-2.106243098017309
3.999999999999999,5.222824741298108,-1.2228247412981093
63.999999999999986,53.0246204744425,10.975379525557486
42.0,53.492822152875874,-11.492822152875874
7.5,8.422784229055207,-0.9227842290552069
62.99999999999998,77.71710243878097,-14.71710243878099
800.0000000000003,468.6505182124075,331.3494817875928
299.9999999999999,276.9307163876936,23.069283612306265
124.00000000000004,183.83693301133027,-59.83693301133023
359.99999999999983,293.0749283479769,66.92507165202295
31.25,30.74088751978115,0.5091124802188496
