id_registro,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,tipo_anomalia
76130_cana_de_azucar_2024_permanente_cana_o_verde,Candelaria,Caña,2024,25391.0,25391.0,3097702.0,122.0,Anomalia multivariada (Isolation Forest)
76147_cana_de_azucar_2019_permanente_cana_o_verde,Cartago,Caña,2019,4302.8,4202.8,533755.6,127.0,Anomalia multivariada (Isolation Forest)
76147_cana_de_azucar_2020_permanente_cana_o_verde,Cartago,Caña,2020,4302.8,4302.08,546455.6,127.02,Anomalia multivariada (Isolation Forest)
76147_cana_de_azucar_2021_permanente_cana_o_verde,Cartago,Caña,2021,4322.8,4302.8,528018.1,122.71,Anomalia multivariada (Isolation Forest)
76147_cana_de_azucar_2022_permanente_cana_o_verde,Cartago,Caña,2022,4372.8,4322.8,648420.0,150.0,Anomalia multivariada (Isolation Forest)
76147_cana_de_azucar_2023_permanente_cana_o_verde,Cartago,Caña,2023,4372.8,4372.8,655920.0,150.0,Anomalia multivariada (Isolation Forest)
76147_cana_de_azucar_2024_permanente_cana_o_verde,Cartago,Caña,2024,4372.8,4372.8,655920.0,150.0,Anomalia multivariada (Isolation Forest)
76243_cafe_2019_permanente_pergamino_o_seco_de_trilla,El Águila,Café,2019,4804.0,3722.0,4872.0,1.31,Anomalia multivariada (Isolation Forest)
76243_cafe_2020_permanente_pergamino_o_seco_de_trilla,El Águila,Café,2020,4782.0,3828.0,4632.0,1.21,Anomalia multivariada (Isolation Forest)
76243_cafe_2021_permanente_pergamino_o_seco_de_trilla,El Águila,Café,2021,4842.66,3980.66,3423.37,0.86,Anomalia multivariada (Isolation Forest)
76243_cafe_2022_permanente_pergamino_o_seco_de_trilla,El Águila,Café,2022,4907.74,4071.75,3290.76,0.81,Anomalia multivariada (Isolation Forest)
76243_cafe_2023_permanente_pergamino_o_seco_de_trilla,El Águila,Café,2023,4929.77,4047.68,3862.6,0.95,Anomalia multivariada (Isolation Forest)
76243_cafe_2024_permanente_pergamino_o_seco_de_trilla,El Águila,Café,2024,4959.64,3914.83,4603.21,1.18,Anomalia multivariada (Isolation Forest)
76248_cana_de_azucar_2019_permanente_cana_o_verde,El Cerrito,Caña,2019,16965.0,16965.0,2035800.0,120.0,Anomalia multivariada (Isolation Forest)
76248_cana_de_azucar_2020_permanente_cana_o_verde,El Cerrito,Caña,2020,16965.0,16965.0,2035800.0,120.0,Anomalia multivariada (Isolation Forest)
76248_cana_de_azucar_2021_permanente_cana_o_verde,El Cerrito,Caña,2021,16965.0,16965.0,2035800.0,120.0,Anomalia multivariada (Isolation Forest)
76248_cana_de_azucar_2022_permanente_cana_o_verde,El Cerrito,Caña,2022,16965.0,16965.0,2035800.0,120.0,Anomalia multivariada (Isolation Forest)
76248_cana_de_azucar_2023_permanente_cana_o_verde,El Cerrito,Caña,2023,16965.0,16965.0,2035800.0,120.0,Anomalia multivariada (Isolation Forest)
76248_cana_de_azucar_2024_permanente_cana_o_verde,El Cerrito,Caña,2024,16965.0,16965.0,2035800.0,120.0,Anomalia multivariada (Isolation Forest)
76275_cana_de_azucar_2019_permanente_cana_o_verde,Florida,Caña,2019,10120.0,10120.0,1315600.0,130.0,Anomalia multivariada (Isolation Forest)
76275_cana_de_azucar_2020_permanente_cana_o_verde,Florida,Caña,2020,10120.0,10120.0,1315600.0,130.0,Anomalia multivariada (Isolation Forest)
76275_cana_de_azucar_2021_permanente_cana_o_verde,Florida,Caña,2021,10120.0,10120.0,1265000.0,125.0,Anomalia multivariada (Isolation Forest)
76275_cana_de_azucar_2022_permanente_cana_o_verde,Florida,Caña,2022,11131.45,10119.45,1254811.8,124.0,Anomalia multivariada (Isolation Forest)
76275_cana_de_azucar_2023_permanente_cana_o_verde,Florida,Caña,2023,12181.45,10986.45,1362319.8,124.0,Anomalia multivariada (Isolation Forest)
76275_cana_de_azucar_2024_permanente_cana_o_verde,Florida,Caña,2024,12911.45,12181.45,1510499.8,124.0,Anomalia multivariada (Isolation Forest)
76306_cana_de_azucar_2019_permanente_cana_o_verde,Ginebra,Caña,2019,3300.0,3300.0,356400.0,108.0,Anomalia multivariada (Isolation Forest)
76306_cana_de_azucar_2020_permanente_cana_o_verde,Ginebra,Caña,2020,3300.0,3300.0,356400.0,108.0,Anomalia multivariada (Isolation Forest)
