ano,produccion,area,var_produccion,var_area
2019,24713772.330000002,369277.14,,
2020,24752592.68,371713.3,0.15707982367740847,0.6597104819431765
2021,25880893.1,369596.55,4.5583120709276725,-0.5694576976395527
2022,25861658.62,371370.63,-0.07431922818769143,0.4800044805613135
2023,26731968.61,373625.46,3.3652520234218386,0.6071643306849506
2024,28154105.86,376253.21,5.3199869816845435,0.7033112786264617
