municipio,cultivo,ciclo,tipo,patron,d_area_pct,d_rend_pct,d_prod_pct,serie_flag
Alcalá,Aguacate,Permanente,permanente,REVISION_PROPORCIONAL,0.19697964543664565,-15.94905026390283,-15.783487001126527,revision_fuente_real
Alcalá,Banano,Permanente,permanente,MIXTO_OTRO,30.81510934393638,-15.651201788708766,10.340972610396868,inspeccion_manual
Alcalá,Cacao,Permanente,permanente,MIXTO_OTRO,41.42857142857143,-20.000000000000007,13.142857142857142,inspeccion_manual
Alcalá,Café,Permanente,permanente,MIXTO_OTRO,1.5298666846518754,-22.392697073206676,-21.20540880087281,inspeccion_manual
Alcalá,Frijol,Transitorio,transitorio,REVISION_PROPORCIONAL,-45.82981661935088,-0.8515681839357618,-46.29111266620014,revision_fuente_real
Alcalá,Guanábana,Permanente,permanente,MIXTO_OTRO,0.0,-21.599372794982354,-21.599372794982358,inspeccion_manual
Alcalá,Guayaba,Permanente,permanente,MIXTO_OTRO,0.0,-22.103213242453744,-22.103213242453744,inspeccion_manual
Alcalá,Habichuela,Transitorio,transitorio,REVISION_PROPORCIONAL,-64.72792440534376,-6.253955525028323,-66.93382432578792,revision_fuente_real
Alcalá,Limón,Permanente,permanente,MIXTO_OTRO,116.95906432748538,-22.825228477942,67.43766219113168,inspeccion_manual
Alcalá,Lulo,Permanente,permanente,MIXTO_OTRO,0.0,-53.35820895522389,-53.35820895522389,inspeccion_manual
Alcalá,Mandarina,Permanente,permanente,MIXTO_OTRO,9.874444153805927,19.992937899286588,31.841573540662665,inspeccion_manual
Alcalá,Maracuyá,Permanente,permanente,MIXTO_OTRO,86.36363636363636,-12.308174130911377,63.42567548330153,inspeccion_manual
Alcalá,Maíz,Transitorio,transitorio,REVISION_PROPORCIONAL,38.49914965986396,1.0002527780489858,39.88449125191097,revision_fuente_real
Alcalá,Naranja,Permanente,permanente,MIXTO_OTRO,14.781155332706566,-24.300040944068275,-13.110712409215742,inspeccion_manual
Alcalá,Papaya,Permanente,permanente,MIXTO_OTRO,55.44554455445544,-46.60251919798042,-16.99599518893985,inspeccion_manual
Alcalá,Pimentón,Transitorio,transitorio,MIXTO_OTRO,-60.96296296296296,-31.921499680746773,-73.42417061611374,inspeccion_manual
